parameter_id,well_id,source_dataset,parameter,value,unit,test_date,method,quality_status
CUR_QS_3500065054,3500065054,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.428,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500053084,3500053084,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.3,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027119,3500027119,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.176,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027282,3500027282,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.214,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045668,3500045668,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.5,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045682,3500045682,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.176,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500053090,3500053090,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.333,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065040,3500065040,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.514,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065045,3500065045,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.385,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065046,3500065046,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.99,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065047,3500065047,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.214,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065060,3500065060,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.383,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
